parent,child
Cutaneous T-Cell Lymphomas,Sezary Syndrome
Cutaneous Lymphomas,Cutaneous B-Cell Lymphomas
Skin Cancer/Cutaneous Oncology,Melanoma
Skin Cancer/Cutaneous Oncology,Squamous Cell Carcinoma
Skin Cancer/Cutaneous Oncology,Basal Cell Carcinoma
Skin Cancer/Cutaneous Oncology,Merkel Cell Cancer
Head and Neck Cancer,Orbital Tumors
Head and Neck Cancer,Salivary Gland Tumors
Head and Neck Cancer,Carcinoma of the Oral Cavity
Head and Neck Cancer,Carcinoma of the Oropharynx
Head and Neck Cancer,Carcinoma of the Larynx
Endocrine Tumors,Thyroid Cancer
Endocrine Tumors,Tumors of the Adrenal Glands
Endocrine Tumors,Neuroendocrine Tumors
Neuroendocrine Tumors,Metastatic Pheochromocytoma
Sarcomas,Soft Tissue Sarcoma
Soft Tissue Sarcoma,Fat Tissue Sarcoma
Fat Tissue Sarcoma,Liposarcoma
Soft Tissue Sarcoma,Fibrous/Connective Tissue Sarcoma
Fibrous/Connective Tissue Sarcoma,Fibrosarcoma
Fibrous/Connective Tissue Sarcoma,Inflammatory Myofibroblastic Tumor
Soft Tissue Sarcoma,Gastrointenstinal Stromal Tumors
Soft Tissue Sarcoma,Skeletal Muscle Tumors
Skeletal Muscle Tumors,Rhabdomyosarcoma
Soft Tissue Sarcoma,Smooth Muscle Tumors
Smooth Muscle Tumors,Leiomyosarcoma
Soft Tissue Sarcoma,Synovial Sarcoma
Soft Tissue Sarcoma,Vascular Tumors
Vascular Tumors,Hemangioma
Hemangioma,Infantile Hemangioma
Sarcomas,Bone Sarcomas
Bone Sarcomas,Ewing Sarcoma
Bone Sarcomas,Osteosarcoma
Cancer Predisposition Syndromes,Beckwith-Wiedemann Syndrome
Cancer Predisposition Syndromes,Li-Fraumeni Syndrome
Cancer Predisposition Syndromes,Neurofibromatosis
Neuro-Oncology,Central Nervous System Tumors
Central Nervous System Tumors,Primary Brain Tumors
Primary Brain Tumors,Posterior Fossa Tumors
Primary Brain Tumors,Gliomas
Gliomas,Low-Grade Glioma
Low-Grade Glioma,Astrocytoma
Low-Grade Glioma,Oligodendroglioma
Low-Grade Glioma,Mixed oligoastrocytomas
Gliomas,High-Grade Glioma
High-Grade Glioma,Anaplastic Astrocytomas
High-Grade Glioma,Anaplastic Oligodendrogliomas
High-Grade Glioma,Glioblastoma
Primary Brain Tumors,Meningiomas
Primary Brain Tumors,Ependymomas
Primary Brain Tumors,Embryonal Tumors
Embryonal Tumors,Medulloblastomas
Embryonal Tumors,Atypical Teratoid/Rhabdoid Tumors
Embryonal Tumors,Neuroblastoma
Central Nervous System Tumors,Primary CNS Lymphoma
Central Nervous System Tumors,Meningeal Neoplasms
Meningeal Neoplasms,Meningeal Carcinomatosis
Neuro-Oncology,Central Nervous System Metastases
Central Nervous System Metastases,Secondary Brain Tumors
Secondary Brain Tumors,Metastatic Brain Tumors
Neuro-Oncology,Spinal Cord Tumors
Spinal Cord Tumors,Intramedullary Tumors
Spinal Cord Tumors,Extramedullary Tumors
Spinal Cord Tumors,Primary Spinal Tumors
Spinal Cord Tumors,Secondary Spinal Tumors
Cancer Treatment-Related Symptoms and Toxicities,Oncology-Associated Infections
Cancer Treatment-Related Symptoms and Toxicities,Ototoxicity
Cancer Treatment-Related Symptoms and Toxicities,Tumor Lysis Syndrome
