parent,child
"Endocrinology, Diabetes, and Metabolism",Autoimmune Endocrinology/Autoimmune Endocrine Disorders
Autoimmune Endocrinology/Autoimmune Endocrine Disorders,Autoimmune Thyroid Disease
Autoimmune Thyroid Disease,Graves Disease
Autoimmune Thyroid Disease,Autoimmune Hypothyroidism
Autoimmune Endocrinology/Autoimmune Endocrine Disorders,Type 1 Diabetes Mellitus (Previously called 'Juvenile Diabetes')
Autoimmune Endocrinology/Autoimmune Endocrine Disorders,Addison's Disease
Autoimmune Endocrinology/Autoimmune Endocrine Disorders,Autoimmune Polyglandular Syndrome
Autoimmune Polyglandular Syndrome,Autoimmune Polyglandular Syndrome Type 1
"Endocrinology, Diabetes, and Metabolism",Parathyroid Disorders
Parathyroid Disorders,Hyperparathyroidism
Parathyroid Disorders,Hypoparathyroidism
Parathyroid Disorders,Parathyroid Tumors
"Endocrinology, Diabetes, and Metabolism",Behavioral Endocrinology
Behavioral Endocrinology,Eating Disorders
"Endocrinology, Diabetes, and Metabolism",Cardiovascular Endocrinology
Cardiovascular Endocrinology,Endocrine Hypertension
