parent,child
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Pulmonary Vascular Malformations
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Pulmonary Edema
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Pulmonary Embolism
Pulmonary Embolism,Pulmonary Thromboembolism
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Pulmonary Vasculitis
Pulmonary Vasculitis,Small Vessel Vasculitis
Small Vessel Vasculitis,Wegener's Granulomatosis
Small Vessel Vasculitis,Churg-Strauss Syndrome
Small Vessel Vasculitis,Microscopic Polyangiitis
Small Vessel Vasculitis,Polyarteriitis Nodosa
Pulmonary Vasculitis,Medium Vessel Vasculitis
Medium Vessel Vasculitis,Behcet's Syndrome
Medium Vessel Vasculitis,Necrotizing Sarcoid Granulomatosis
Pulmonary Vasculitis,Large Vessel Vasculitis
Large Vessel Vasculitis,Giant Cell Arteriitis
Large Vessel Vasculitis,Takayasu's Disease/Arteriitis
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Pulmonary Hypertension
Pulmonary Hypertension,Pulmonary Arterial Hypertension/Primary Pulmonary Hypertension
Pulmonary Hypertension,Secondary Pulmonary Hypertension
Pulmonary Hypertension,Cor Pulmonale
Pulmonary Medicine,Disorders of Ventilatory Control/Disease of Alveolar Space/Disorders in Control of Breathing/Hypo- and Hyper- Ventilation
Disorders of Ventilatory Control/Disease of Alveolar Space/Disorders in Control of Breathing/Hypo- and Hyper- Ventilation,Alveolar Hyperventilation (Syndromes)
Alveolar Hyperventilation (Syndromes),Pulmonary Disease associated Hyperventilation
Alveolar Hyperventilation (Syndromes),Psychogenic Hyperventilation
Alveolar Hyperventilation (Syndromes),Neurologic/Central Nervous System Disorders
Alveolar Hyperventilation (Syndromes),Drug-Induced Hyperventilation
Alveolar Hyperventilation (Syndromes),Cardiovascular related Hyperventilation
Disorders of Ventilatory Control/Disease of Alveolar Space/Disorders in Control of Breathing/Hypo- and Hyper- Ventilation,Alveolar Hypoventilation
Alveolar Hypoventilation,Primary Alveolar Hypoventilation
Alveolar Hypoventilation,Chronic Alveolar Hypoventilation
Alveolar Hypoventilation,Acidosis/hypercapnia
Pulmonary Medicine,Respiratory Failure
Respiratory Failure,Chronic Respiratory Failure
Respiratory Failure,Acute Hypoxemic Respiratory Failure
Acute Hypoxemic Respiratory Failure,Acute Respiratory Distress Syndrome (ARDS)/prev. known as Adult Respiratory Distress Syndrome
Respiratory Failure,Acute Ventilatory Failure
Pulmonary Medicine,Environmental and Occupational Lung Diseases
Environmental and Occupational Lung Diseases,Environmental and Occupational Lung Disorders
Environmental and Occupational Lung Disorders,Pneumoconiosis
Pneumoconiosis,Silicosis
Pneumoconiosis,Asbestosis
Environmental and Occupational Lung Disorders,Extrinsic Allergic Alveolitis/Hypersensitivity Pneumonitis (synon terms)
Environmental and Occupational Lung Disorders,Occupational Asthma
Environmental and Occupational Lung Disorders,"Pulmonary Disease caused by Drugs, Toxins, Irradiation/ Drug-Induced Pulmonary Disease/ Pulmonary Toxicity"
Environmental and Occupational Lung Disorders,"Pulmonary Disease caused by High Altitude, Diving"
Environmental and Occupational Lung Disorders,"Foreign Body Inhalation/(Solid, Gas, or Liquid)"
Pulmonary Medicine,Lung Transplantation
Lung Transplantation,Unilateral Lung Transplantation
Lung Transplantation,Bilateral Lung Transplantation
Lung Transplantation,Heart-Lung Transplantation
Lung Transplantation,Living Donor Lobe Transplantation
Lung Transplantation,Pre and Post Transplant Management
Lung Transplantation,Lung Transplant Complications
Lung Transplant Complications,Post Transplant Lung Infections
Lung Transplant Complications,Primary Disease Recurrence
Lung Transplant Complications,Allograft Rejection
Pulmonary Medicine,Extrapulmonary Disorders Effecting Pulmonary Complications
Extrapulmonary Disorders Effecting Pulmonary Complications,Gastroesophageal Reflux Disease (GERD)
Extrapulmonary Disorders Effecting Pulmonary Complications,Pulmonary Manifestations/Complications of HIV Infection
Pulmonary Manifestations/Complications of HIV Infection,Infectious Complications
Infectious Complications,tuberculosis
Infectious Complications,pneumocystis carinii/pneumocystis jirovecii
Pulmonary Manifestations/Complications of HIV Infection,Non-infectious Complications
Non-infectious Complications,Pulmonary Neoplasms
Pulmonary Neoplasms,Kaposi's Sarcoma
Pulmonary Neoplasms,Non-Hodgkin's Lymphoma
Pulmonary Neoplasms,Bronchogenic/Pulmonary Carcinoma
Non-infectious Complications,Interstitial Pneumonitis
Non-infectious Complications,Pulmonary Hypertension
Extrapulmonary Disorders Effecting Pulmonary Complications,Pulmonary Complications due to Transplantation
Pulmonary Complications due to Transplantation,Bone Marrow and Stem Cell Transplantation
Bone Marrow and Stem Cell Transplantation,Engraftment Syndrome/Graft vs Host Disease
Extrapulmonary Disorders Effecting Pulmonary Complications,Pulmonary Complications of Primary Immunodeficiencies/Immune-compromised host
Extrapulmonary Disorders Effecting Pulmonary Complications,Neuromuscular Diseases Affecting Respiratory Function
Neuromuscular Diseases Affecting Respiratory Function,Spinal Cord Disorders/Injuries
Spinal Cord Disorders/Injuries,poliomyelitis
poliomyelitis,Post-polio syndrome (PPS)
Spinal Cord Disorders/Injuries,ALS (Amyotrophic Lateral Sclerosis)
Neuromuscular Diseases Affecting Respiratory Function,Peripheral Nerve Disorders/Injuries
Peripheral Nerve Disorders/Injuries,Acute Inflammatory Polyneuropathy (Landry-Guillain-Barre-Strohl Syndrome)
Peripheral Nerve Disorders/Injuries,Neurotoxins
Peripheral Nerve Disorders/Injuries,Myasthenia Gravis
Neuromuscular Diseases Affecting Respiratory Function,Respiratory Muscle Disorders/Injuries/Myopathies
Respiratory Muscle Disorders/Injuries/Myopathies,Respiratory Muscle Paralysis/Fatigue
Respiratory Muscle Disorders/Injuries/Myopathies,Muscular dystrophies
Respiratory Muscle Disorders/Injuries/Myopathies,Inapropriate Muscle Contractions
Inapropriate Muscle Contractions,Respiratory Myoclonus/Leeuwenhock's disease
Inapropriate Muscle Contractions,Parkinson's Disease
Inapropriate Muscle Contractions,Thomsen's disease (Myotonia Congenita)
Inapropriate Muscle Contractions,Convulsive Disorders
Extrapulmonary Disorders Effecting Pulmonary Complications,Respiratory Manifestations/Complications of Metabolic Disease
Respiratory Manifestations/Complications of Metabolic Disease,Obesity
Respiratory Manifestations/Complications of Metabolic Disease,Malnutrition
Respiratory Manifestations/Complications of Metabolic Disease,Endocrine Disease
Endocrine Disease,Diabetes Mellitus
Endocrine Disease,Thyroid Diseases
Thyroid Diseases,Goiter
Thyroid Diseases,Hyperthyroidism
Thyroid Diseases,Hypothyroidism
Endocrine Disease,Parathyroid Diseases
Parathyroid Diseases,Hyperparathyroidism
Hyperparathyroidism,hypercalcemia/metastatic Calcification of the lungs
Endocrine Disease,Acromegaly
Pulmonary Medicine,Traumatic Chest Injury/Disease of the Diaphragm and Chest Wall
Traumatic Chest Injury/Disease of the Diaphragm and Chest Wall,Chest Wall Injuries and Diseases
Chest Wall Injuries and Diseases,Ankylosing Spondylitis
Chest Wall Injuries and Diseases,Diaphragmatic Injury
Diaphragmatic Injury,Diaphragmatic Hernia
Chest Wall Injuries and Diseases,Flail Chest
Chest Wall Injuries and Diseases,Kyphosis
Chest Wall Injuries and Diseases,Obesity
Chest Wall Injuries and Diseases,Pectus Excavatum
Chest Wall Injuries and Diseases,Scoliosis
Chest Wall Injuries and Diseases,Thoracoplasty
Traumatic Chest Injury/Disease of the Diaphragm and Chest Wall,Pleural Injuries
Traumatic Chest Injury/Disease of the Diaphragm and Chest Wall,Pulmonary Injuries
Traumatic Chest Injury/Disease of the Diaphragm and Chest Wall,Mediastinal Injuries
Mediastinal Injuries,Aortic Rupture
Mediastinal Injuries,Tracheobronchial Injuries
Mediastinal Injuries,Myocardial Contusion
Mediastinal Injuries,Esophageal Injuries
Pulmonary Medicine,Tests and Procedures in Pulmonary Medicine
Tests and Procedures in Pulmonary Medicine,Pulmonary Radiology
Pulmonary Radiology,Endobronchial Ultrasound
Endobronchial Ultrasound,TBNA - Transbronchial Needle Aspiration
Tests and Procedures in Pulmonary Medicine,Bronchoscopy
Bronchoscopy,Therapeutic Bronchoscopy
Therapeutic Bronchoscopy,Airway Stents
Therapeutic Bronchoscopy,Brachytherapy
Therapeutic Bronchoscopy,Photodynamic therapy
Therapeutic Bronchoscopy,Laser Therapy
Therapeutic Bronchoscopy,Electrocautery and Argon Plasma Coagulation
Therapeutic Bronchoscopy,Cryotherapy
Tests and Procedures in Pulmonary Medicine,Pleuroscopy (Medical Thoracoscopy)
Tests and Procedures in Pulmonary Medicine,Hyperbaric Therapy
Tests and Procedures in Pulmonary Medicine,Video-Assisted Thoracic Surgery (VATS) (Surgical Thoracoscopy)
Tests and Procedures in Pulmonary Medicine,Lung lavage
Tests and Procedures in Pulmonary Medicine,Lung Biopsy
Lung Biopsy,Bronchoscopic Lung Biopsy
Lung Biopsy,Percutaneous Lung biopsy
Tests and Procedures in Pulmonary Medicine,Mediastinoscopy
Tests and Procedures in Pulmonary Medicine,Mechanical Ventilation
Mechanical Ventilation,High Frequency Ventilation (lung protection)
Mechanical Ventilation,Ventilator Weaning
Tests and Procedures in Pulmonary Medicine,Pulmonary Rehabilitation
Tests and Procedures in Pulmonary Medicine,Pulmonary Surgery
Pulmonary Surgery,Lung Transplantation
Lung Transplantation,Single Lung Transplantation
Lung Transplantation,Bilateral Lung Transplantation
Lung Transplantation,Heart-Lung Transplantation
Pulmonary Surgery,Lung Volume Reduction Surgery
Pulmonary Surgery,Lobectomy
